City,Zip,NABE,Lat,Long,MEDINC,P_WHITE,P_BLACK,P_HISP,P_ASIAN,P_OTHERS,P_MinCOMBINED
Philadelphia,19102,Center City,39.948498,-75.16683,90750,0.73,0.04,0.05,0.16,0.01,0.27
Philadelphia,19103,Center City West,39.953663,-75.17399,73611,0.72,0.06,0.06,0.12,0.04,0.28
Philadelphia,19103,Center City West,39.95386,-75.16713,73611,0.72,0.06,0.06,0.12,0.04,0.28
Philadelphia,19104,"University City, Mantua, Powelton",39.956417,-75.20855,25865,0.35,0.42,0.05,0.14,0.04,0.65
Philadelphia,19106,"Old City, Society Hill",39.94912,-75.14397,109393,0.77,0.08,0.06,0.06,0.02,0.23
Philadelphia,19107,"Center City, Chinatown",39.950233,-75.15892,53534,0.55,0.08,0.05,0.27,0.04,0.45
Philadelphia,19107,"Center City, Chinatown",39.952161,-75.159627,53534,0.55,0.08,0.05,0.27,0.04,0.45
Philadelphia,19111,"Fox Chase, Burlholme, Lawndale",40.05468,-75.09065,48186,0.44,0.23,0.2,0.1,0.03,0.56
Philadelphia,19114,"Northeast, Torresdale",40.07735,-75.02251,56781,0.76,0.1,0.09,0.04,0.01,0.24
Philadelphia,19114,"Northeast, Torresdale",40.080593,-74.99308,56781,0.76,0.1,0.09,0.04,0.01,0.24
Philadelphia,19116,"Somerton, Byberry",40.118416,-75.01828,55123,0.67,0.06,0.06,0.17,0.04,0.33
Philadelphia,19118,Chestnut Hill,40.077652,-75.20976,85437,0.65,0.19,0.07,0.05,0.03,0.35
Philadelphia,19119,Mount Airy,40.060062,-75.19097,61297,0.31,0.58,0.03,0.02,0.06,0.69
Philadelphia,19120,"Olney, Feltonville",40.035653,-75.120034,37891,0.06,0.5,0.31,0.11,0.02,0.94
Philadelphia,19121,"Strawberry Mansion, Brewerytown",39.986816,-75.16948,19668,0.13,0.75,0.06,0.04,0.02,0.87
Philadelphia,19123,"Northern Liberties, North Philadelphia",39.96936,-75.13877,73730,0.48,0.29,0.1,0.08,0.05,0.52
Philadelphia,19124,"Frankford, Juniata Park, Crescentville",40.032215,-75.10596,33427,0.14,0.37,0.41,0.05,0.03,0.86
Philadelphia,19124,"Frankford, Juniata Park, Crescentville",40.02286,-75.07741,33427,0.14,0.37,0.41,0.05,0.03,0.86
Philadelphia,19124,"Frankford, Juniata Park, Crescentville",40.004665,-75.103485,33427,0.14,0.37,0.41,0.05,0.03,0.86
Philadelphia,19124,"Frankford, Juniata Park, Crescentville",40.011658,-75.088264,33427,0.14,0.37,0.41,0.05,0.03,0.86
Philadelphia,19127,Manayunk,40.015972,-75.21022,73750,0.81,0.09,0.05,0.01,0.03,0.19
Philadelphia,19128,"Roxborough, Wissahickon",40.04498,-75.23145,72563,0.77,0.12,0.04,0.03,0.04,0.23
Philadelphia,19129,"East Falls, Tioga, Nicetown",40.009163,-75.17337,63926,0.52,0.36,0.04,0.04,0.04,0.48
Philadelphia,19130,"Spring Garden, Fairmount",39.967243,-75.169556,82632,0.65,0.18,0.06,0.07,0.03,0.35
Philadelphia,19130,"Spring Garden, Fairmount",39.97505,-75.18723,82632,0.65,0.18,0.06,0.07,0.03,0.35
Philadelphia,19131,"Wynnefield, West Park, Overbrook",39.976162,-75.224495,34844,0.11,0.8,0.03,0.03,0.02,0.89
Philadelphia,19133,Fairhill,39.992089,-75.135712,19130,0.04,0.35,0.59,0.01,0.02,0.96
Philadelphia,19136,Holmesburg,40.04982,-75.01114,48576,0.64,0.15,0.14,0.03,0.03,0.36
Philadelphia,19137,"Bridesburg, Port Richmond",39.99741,-75.08919,54006,0.88,0.02,0.09,0,0.01,0.12
Philadelphia,19138,"West Oak Lane, East Germantown",40.064,-75.153015,39851,0.03,0.92,0.02,0.01,0.04,0.97
Philadelphia,19140,"Hunting Park, Tioga, Nicetown",40.017723,-75.14939,21665,0.03,0.52,0.42,0.01,0.02,0.97
Philadelphia,19140,"Hunting Park, Tioga, Nicetown",40.002918,-75.152965,21665,0.03,0.52,0.42,0.01,0.02,0.97
Philadelphia,19142,"West Philadelphia, Elmwood",39.929867,-75.22822,30431,0.06,0.84,0.03,0.06,0.01,0.94
Philadelphia,19143,Kingsessing,39.948128,-75.22149,33351,0.12,0.79,0.04,0.02,0.03,0.88
Philadelphia,19144,Germantown,40.033259,-75.177865,33786,0.16,0.75,0.04,0.02,0.03,0.84
Philadelphia,19144,Germantown,40.03037,-75.1657,33786,0.16,0.75,0.04,0.02,0.03,0.84
Philadelphia,19145,South Philadelphia West,39.9198,-75.18821,42009,0.48,0.3,0.06,0.13,0.02,0.52
Philadelphia,19146,"Southwest Center City, Point Breeze, Grays Ferry",39.93956,-75.18051,63524,0.45,0.43,0.05,0.04,0.04,0.55
Philadelphia,19146,"Southwest Center City, Point Breeze, Grays Ferry",39.94559,-75.18106,63524,0.45,0.43,0.05,0.04,0.04,0.55
Philadelphia,19146,"Southwest Center City, Point Breeze, Grays Ferry",39.937726,-75.167021,63524,0.45,0.43,0.05,0.04,0.04,0.55
Philadelphia,19146,"Southwest Center City, Point Breeze, Grays Ferry",39.933903,-75.180115,63524,0.45,0.43,0.05,0.04,0.04,0.55
Philadelphia,19147,"Bella Vista, Queen Village",39.942257,-75.154366,77695,0.66,0.09,0.09,0.13,0.03,0.34
Philadelphia,19147,"Bella Vista, Queen Village",39.9341,-75.16207,77695,0.66,0.09,0.09,0.13,0.03,0.34
Philadelphia,19148,South Philadelphia East,39.92113,-75.1417,52584,0.56,0.05,0.14,0.22,0.03,0.44
Philadelphia,19148,South Philadelphia East,39.911938,-75.15051,52584,0.56,0.05,0.14,0.22,0.03,0.44
Philadelphia,19149,"Oxford Circle, Mayfair",40.049698,-75.063354,45126,0.34,0.24,0.22,0.15,0.04,0.66
Philadelphia,19149,"Oxford Circle, Mayfair",40.0349,-75.065499,45126,0.34,0.24,0.22,0.15,0.04,0.66
Philadelphia,19149,"Oxford Circle, Mayfair",40.037483,-75.042114,45126,0.34,0.24,0.22,0.15,0.04,0.66
Philadelphia,19151,Overbrook,39.977297,-75.273268,48369,0.06,0.87,0.04,0.01,0.02,0.94
Philadelphia,19152,Rhawnhurst,40.059544,-75.044395,52696,0.53,0.15,0.13,0.15,0.04,0.47
Philadelphia,19153,"Eastwick, Southwest Philadelphia",39.902633,-75.24045,42418,0.12,0.73,0.07,0.04,0.04,0.88
Philadelphia,19154,"Northeast Philadelphia, Parkwood Manor",40.08202,-74.96099,65082,0.78,0.08,0.08,0.04,0.01,0.22